"","Set","Variable.Name","Subscript.1","Subscript.2","Index","Study.Minimum","Study.Maximum","Model.Value","mu","mu.star","sigma","sem","std.errors","metric"
"80",39,"C_to_RR.Policy_Dur","FeedstockP","MTG",NA,0,20,NA,-0.0000000000964010046163124,0.000000000121813924183778,0.000000000525095698906166,0.000000000105019139781233,0.917937480892784,"EEEtOHbeta"
"81",113,"C_to_EtOH.Startup_Subs_Vol_Thresh","FCI_C",NA,NA,0,5,1,0.0000000000970496713118106,0.000000000138294962602313,0.00000000053145381291217,0.000000000106290762582434,0.913058378300218,"EEEtOHbeta"
"82",12,"C_to_RR.Policy_Start","FCI_P","MTG",NA,2011,2015,NA,-0.0000000000958682969332391,0.000000000125822119771781,0.000000000525730314286981,0.000000000105146062857396,0.911763068706243,"EEEtOHbeta"
"83",19,"C_to_RR.Policy_Dur","FeedstockC","F",NA,0,20,NA,-0.0000000000969429591746967,0.000000000142239194268329,0.000000000531911070868706,0.000000000106382214173741,0.911270365329787,"EEEtOHbeta"
"84",59,"C_to_EtOH.Policy_Dur","Loan_P","BC",NA,0,20,NA,0.0000000000957372942630067,0.000000000130787505174085,0.00000000052609221070991,0.000000000105218442141982,0.909890816800143,"EEEtOHbeta"
"85",48,"C_to_RR.Policy_Start","Loan_C","F",NA,2011,2015,NA,-0.0000000000941796035317007,0.000000000133524984948474,0.000000000526800273310516,0.000000000105360054662103,0.893883396641555,"EEEtOHbeta"
"86",138,"C_to_RR.Startup_Subs_Vol_Thresh","Loan_C",NA,NA,0,5,1,0.0000000000939790435956298,0.000000000142796472713502,0.000000000532345830004856,0.000000000106469166000971,0.882687891016001,"EEEtOHbeta"
"87",32,"C_to_EtOH.Policy_Start","FeedstockP","BC",NA,2011,2015,NA,-0.0000000000912557960419081,0.000000000132477578944518,0.00000000052713413305216,0.000000000105426826610432,0.865584206371988,"EEEtOHbeta"
"88",125,"C_to_RR.Background_Subs","Loan_P",NA,NA,0,1,0.699999988079071,-0.0000000000900814680783376,0.000000000130744295870185,0.000000000527329794763635,0.000000000105465958952727,0.854128374433259,"EEEtOHbeta"
"89",133,"C_to_RR.Startup_Subs","Price",NA,NA,0,5,2.65000009536743,0.0000000000867167389980993,0.000000000142920867208282,0.000000000532032846664795,0.000000000106406569332959,0.814956628540031,"EEEtOHbeta"
"90",82,"C_to_RR.Policy_Start","Price","MTG",NA,2011,2015,NA,-0.0000000000867883571515532,0.00000000014247438856143,0.000000000533701516151194,0.000000000106740303230239,0.813079544699726,"EEEtOHbeta"
"91",83,"C_to_EtOH.Policy_Dur","Price","TC",NA,0,20,NA,0.0000000000847498136668004,0.000000000126888911976849,0.00000000052766646000803,0.000000000105533292001606,0.803062351788579,"EEEtOHbeta"
"92",91,"C_to_RR.Policy_Dur","FCI_C","F",NA,0,20,NA,0.0000000000136991448780089,0.0000000000325742884403423,0.0000000000872293745185952,0.000000000017445874903719,0.785236908645295,"EEEtOHbeta"
"93",13,"C_to_EtOH.Policy_Dur","FCI_P","TC",NA,0,20,NA,-0.00000000000606531149023094,0.0000000000202972409417411,0.0000000000393263669179696,0.00000000000786527338359393,0.771150752735753,"EEEtOHbeta"
"94",94,"C_to_RR.Policy_Start","FCI_C","APR",NA,2011,2015,NA,0.00000000000513044489374579,0.0000000000209413281898625,0.0000000000340495866523186,0.00000000000680991733046372,0.753378439822622,"EEEtOHbeta"
"95",79,"C_to_RR.Policy_Dur","Price","FT",NA,0,20,NA,-0.0000000000127261980070319,0.0000000000332925238177507,0.0000000000862062628902953,0.0000000000172412525780591,0.738124909974758,"EEEtOHbeta"
"96",72,"C_to_RR.Policy_Start","Price","APR",NA,2011,2015,NA,-0.00000000000686346777895999,0.0000000000224164575209508,0.0000000000476658181149219,0.00000000000953316362298437,0.719956989137606,"EEEtOHbeta"
"97",124,"C_to_RR.Background_Subs","Loan_C",NA,NA,0,1,0.699999988079071,-0.0000000000737870160468733,0.000000000138891985245071,0.000000000534188015978985,0.000000000106837603195797,0.690646493741036,"EEEtOHbeta"
"98",4,"C_to_EtOH.Policy_Start","FCI_P","BC",NA,2011,2015,NA,0.0000000000742466704750236,0.000000000157122350105811,0.000000000544932675069269,0.000000000108986535013854,0.681246270152416,"EEEtOHbeta"
"99",36,"C_to_RR.Policy_Start","FeedstockP","FP",NA,2011,2015,NA,0.00000000000476941995595468,0.0000000000235209291582027,0.0000000000361703566729275,0.00000000000723407133458551,0.659299547289847,"EEEtOHbeta"
"100",52,"C_to_RR.Policy_Start","Loan_C","FT",NA,2011,2015,NA,0.000000000114584174048167,0.000000000331601012291904,0.000000000917126677239178,0.000000000183425335447836,0.62469109716173,"EEEtOHbeta"
