"","Set","Variable.Name","Subscript.1","Subscript.2","Index","Study.Minimum","Study.Maximum","Model.Value","mu","mu.star","sigma","sem","std.errors","metric"
"74",7,"C_to_RR.Policy_Dur","FCI_P","FP",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"75",11,"C_to_RR.Policy_Dur","FCI_P","MTG",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"76",15,"C_to_RR.Policy_Dur","FeedstockC","APR",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"77",19,"C_to_RR.Policy_Dur","FeedstockC","F",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"78",21,"C_to_RR.Policy_Dur","FeedstockC","FP",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"79",23,"C_to_RR.Policy_Dur","FeedstockC","FT",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"80",25,"C_to_RR.Policy_Dur","FeedstockC","MTG",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"81",29,"C_to_RR.Policy_Dur","FeedstockP","APR",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"82",33,"C_to_RR.Policy_Dur","FeedstockP","F",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"83",35,"C_to_RR.Policy_Dur","FeedstockP","FP",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"84",37,"C_to_RR.Policy_Dur","FeedstockP","FT",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"85",39,"C_to_RR.Policy_Dur","FeedstockP","MTG",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"86",43,"C_to_RR.Policy_Dur","Loan_C","APR",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"87",47,"C_to_RR.Policy_Dur","Loan_C","F",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"88",49,"C_to_RR.Policy_Dur","Loan_C","FP",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"89",51,"C_to_RR.Policy_Dur","Loan_C","FT",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"90",53,"C_to_RR.Policy_Dur","Loan_C","MTG",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"91",57,"C_to_RR.Policy_Dur","Loan_P","APR",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"92",61,"C_to_RR.Policy_Dur","Loan_P","F",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"93",63,"C_to_RR.Policy_Dur","Loan_P","FP",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"94",65,"C_to_RR.Policy_Dur","Loan_P","FT",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"95",67,"C_to_RR.Policy_Dur","Loan_P","MTG",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"96",75,"C_to_RR.Policy_Dur","Price","F",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"97",81,"C_to_RR.Policy_Dur","Price","MTG",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"98",91,"C_to_RR.Policy_Dur","FCI_C","F",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"99",93,"C_to_RR.Policy_Dur","FCI_C","APR",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"100",95,"C_to_RR.Policy_Dur","FCI_C","MTG",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"101",97,"C_to_RR.Policy_Dur","FCI_C","FP",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"102",2,"C_to_RR.Policy_Start","FCI_P","APR",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"103",6,"C_to_RR.Policy_Start","FCI_P","F",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"104",8,"C_to_RR.Policy_Start","FCI_P","FP",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"105",12,"C_to_RR.Policy_Start","FCI_P","MTG",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"106",16,"C_to_RR.Policy_Start","FeedstockC","APR",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"107",20,"C_to_RR.Policy_Start","FeedstockC","F",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"108",22,"C_to_RR.Policy_Start","FeedstockC","FP",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"109",24,"C_to_RR.Policy_Start","FeedstockC","FT",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"110",26,"C_to_RR.Policy_Start","FeedstockC","MTG",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"111",30,"C_to_RR.Policy_Start","FeedstockP","APR",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"112",34,"C_to_RR.Policy_Start","FeedstockP","F",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"113",36,"C_to_RR.Policy_Start","FeedstockP","FP",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"114",38,"C_to_RR.Policy_Start","FeedstockP","FT",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"115",40,"C_to_RR.Policy_Start","FeedstockP","MTG",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"116",44,"C_to_RR.Policy_Start","Loan_C","APR",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"117",48,"C_to_RR.Policy_Start","Loan_C","F",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"118",50,"C_to_RR.Policy_Start","Loan_C","FP",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"119",52,"C_to_RR.Policy_Start","Loan_C","FT",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"120",54,"C_to_RR.Policy_Start","Loan_C","MTG",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"121",58,"C_to_RR.Policy_Start","Loan_P","APR",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"122",62,"C_to_RR.Policy_Start","Loan_P","F",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"123",64,"C_to_RR.Policy_Start","Loan_P","FP",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"124",66,"C_to_RR.Policy_Start","Loan_P","FT",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"125",68,"C_to_RR.Policy_Start","Loan_P","MTG",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"126",76,"C_to_RR.Policy_Start","Price","F",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"127",82,"C_to_RR.Policy_Start","Price","MTG",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"128",92,"C_to_RR.Policy_Start","FCI_C","F",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"129",94,"C_to_RR.Policy_Start","FCI_C","APR",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"130",96,"C_to_RR.Policy_Start","FCI_C","MTG",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"131",98,"C_to_RR.Policy_Start","FCI_C","FP",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"132",129,"C_to_RR.Startup_Subs","FeedstockC",NA,NA,0,1,0,0,0,0,0,NA,"EE2035RRMax"
"133",130,"C_to_RR.Startup_Subs","FeedstockP",NA,NA,0,1,0,0,0,0,0,NA,"EE2035RRMax"
"134",131,"C_to_RR.Startup_Subs","Loan_C",NA,NA,0,1,0.699999988079071,0,0,0,0,NA,"EE2035RRMax"
"135",132,"C_to_RR.Startup_Subs","Loan_P",NA,NA,0,1,0.699999988079071,0,0,0,0,NA,"EE2035RRMax"
"136",134,"C_to_RR.Startup_Subs_Vol_Thresh","FCI_C",NA,NA,0,5,1,0,0,0,0,NA,"EE2035RRMax"
"137",136,"C_to_RR.Startup_Subs_Vol_Thresh","FeedstockC",NA,NA,0,5,1,0,0,0,0,NA,"EE2035RRMax"
"138",137,"C_to_RR.Startup_Subs_Vol_Thresh","FeedstockP",NA,NA,0,5,1,0,0,0,0,NA,"EE2035RRMax"
"139",138,"C_to_RR.Startup_Subs_Vol_Thresh","Loan_C",NA,NA,0,5,1,0,0,0,0,NA,"EE2035RRMax"
"140",139,"C_to_RR.Startup_Subs_Vol_Thresh","Loan_P",NA,NA,0,5,1,0,0,0,0,NA,"EE2035RRMax"
